Wall time,Step,Value
1683502513.1696804,319,-92.43911743164062
1683502513.244481,699,-124.72883605957031
1683502513.3050396,1016,-137.87319946289062
1683502513.3740573,1372,-164.8372802734375
1683502513.435019,1689,-151.5463104248047
1683502513.4810297,1941,-144.78553771972656
1683502513.552545,2312,-165.4690399169922
1683502513.6097136,2617,-168.7379913330078
1683502513.6825912,2979,-172.86549377441406
1683502513.7421098,3294,-172.72018432617188
1683502513.8116467,3644,-175.37168884277344
1683502513.8795168,3993,-171.7530517578125
1683502513.958537,4405,-173.80331420898438
1683502514.029563,4774,-173.0029754638672
1683502514.1030397,5147,-181.346435546875
1683502514.1800568,5538,-177.31170654296875
1683502514.2615628,5948,-174.65829467773438
1683502514.3235774,6260,-177.9225616455078
1683502514.3945925,6619,-174.76907348632812
1683502514.4561672,6941,-171.49932861328125
1683502514.529695,7320,-172.32273864746094
1683502514.6000922,7696,-176.31683349609375
1683502514.6636117,8037,-176.69053649902344
1683502514.7342134,8414,-175.52706909179688
1683502514.817653,8815,-181.07130432128906
1683502514.8750725,9113,-182.30160522460938
1683502514.9354155,9440,-182.30047607421875
1683502515.0144358,9840,-189.5655059814453
1683502516.0866377,10200,-190.3011932373047
1683502516.1481245,10527,-191.37203979492188
1683502516.2111406,10854,-195.24124145507812
1683502516.2961419,11284,-191.57357788085938
1683502516.372764,11670,-191.74923706054688
1683502516.4352827,12005,-193.19955444335938
1683502516.5001397,12342,-194.16835021972656
1683502516.570718,12695,-193.24185180664062
1683502516.6491892,13096,-195.30816650390625
1683502516.7187088,13459,-195.94248962402344
1683502516.7941499,13851,-194.7642059326172
1683502516.865026,14226,-189.5272216796875
1683502516.9230392,14537,-192.209228515625
1683502516.9860678,14884,-192.794677734375
1683502518.032198,16193,-190.1444549560547
1683502518.1082191,16581,-193.2171173095703
1683502518.1977167,17006,-200.4825897216797
1683502518.266725,17359,-204.59283447265625
1683502518.3337402,17700,-200.97801208496094
1683502518.4082158,18074,-200.70359802246094
1683502518.5002208,18527,-205.03921508789062
1683502518.587216,18971,-200.9636993408203
1683502518.6485283,19297,-198.39414978027344
1683502518.7323394,19707,-199.27569580078125
1683502518.819918,20142,-192.7291259765625
1683502518.8852317,20495,-192.3436737060547
1683502518.954572,20859,-194.12762451171875
1683502519.015585,21178,-193.48223876953125
1683502519.1032376,21602,-195.2725067138672
1683502519.1662524,21929,-193.8782196044922
1683502519.2415874,22309,-188.02467346191406
1683502519.3206146,22715,-188.4307861328125
1683502519.3816705,23036,-187.0670166015625
1683502519.4542475,23413,-185.07235717773438
1683502519.5312653,23807,-185.92787170410156
1683502519.603254,24175,-185.3951873779297
1683502519.6698704,24522,-188.24412536621094
