Wall time,Step,Value
1683503884.797959,24281,-175.85025024414062
1683503884.8694808,24662,-176.01902770996094
1683503884.9384937,25039,-178.3294677734375
1683503885.0124817,25432,-179.1188507080078
1683503885.0704947,25751,-177.4354705810547
1683503885.1457312,26122,-170.39846801757812
1683503885.2217488,26500,-171.57363891601562
1683503885.2969697,26895,-174.47677612304688
1683503885.3695269,27277,-166.6029510498047
1683503885.4396074,27655,-164.82843017578125
1683503885.5179968,28067,-163.5991668701172
1683503885.582985,28420,-165.80421447753906
1683503885.6485043,28770,-164.0100555419922
1683503885.71299,29101,-161.57911682128906
1683503885.792512,29519,-162.2256622314453
1683503885.874523,29936,-163.3382568359375
1683503885.936004,30273,-164.19264221191406
1683503886.003525,30634,-162.48826599121094
1683503886.071559,30997,-160.73873901367188
1683503886.147026,31385,-164.13832092285156
1683503886.2200053,31772,-164.09759521484375
1683503886.2820306,32105,-166.351318359375
1683503886.3560174,32488,-166.5857391357422
1683503886.4295387,32874,-173.23423767089844
1683503886.5120451,33297,-175.50035095214844
1683503886.5710225,33619,-173.37034606933594
1683503886.6210337,33899,-171.35704040527344
1683503886.6750302,34201,-170.6446075439453
1683503886.7375493,34536,-174.2959747314453
1683503886.8070335,34916,-176.75399780273438
1683503886.8675501,35238,-175.9771270751953
1683503886.931061,35577,-174.6192169189453
1683503886.987578,35880,-171.53482055664062
1683503887.068054,36310,-173.6270751953125
1683503887.1295776,36644,-173.72630310058594
1683503887.1985946,36996,-174.78489685058594
1683503887.2766647,37404,-178.29107666015625
1683503887.3630564,37844,-177.380615234375
1683503887.4276123,38190,-177.80224609375
1683503887.4990637,38570,-176.1054229736328
1683503887.562065,38911,-177.90521240234375
1683503887.6280797,39272,-178.37008666992188
1683503887.7000713,39656,-181.4429931640625
1683503887.766592,40009,-186.26864624023438
1683503887.8356426,40377,-179.69036865234375
1683503887.8940804,40694,-184.91766357421875
1683503887.97777,41116,-184.89906311035156
1683503888.059093,41549,-191.54171752929688
1683503888.113613,41857,-188.67999267578125
1683503888.1935625,42271,-195.8143310546875
1683503888.2730947,42679,-202.76834106445312
1683503888.3386157,43035,-201.91790771484375
1683503888.4216044,43461,-204.72604370117188
1683503888.5057614,43892,-202.8050994873047
1683503888.5727782,44260,-204.2499237060547
1683503888.6421018,44623,-205.4894256591797
1683503888.7084444,44971,-204.6126708984375
1683503888.7624562,45267,-205.07066345214844
1683503888.8159766,45566,-202.95925903320312
1683503888.881121,45915,-203.56932067871094
1683503888.949486,46277,-203.4901123046875
1683503889.0205019,46658,-202.08045959472656
1683503889.0931284,47045,-205.59185791015625
1683503889.1706548,47455,-210.41134643554688
1683503889.2411778,47819,-218.90786743164062
1683503889.3011239,48141,-212.00721740722656
1683503889.3731406,48504,-209.65638732910156
1683503889.4617105,48956,-209.10472106933594
1683503889.5316503,49340,-205.1796417236328
1683503889.5961387,49686,-209.24200439453125
1683503890.3906932,50066,-211.01805114746094
1683503890.7786922,50329,-224.14248657226562
1683503891.1680093,50616,-231.2686309814453
1683503891.802226,51085,-253.4556427001953
1683503892.3742492,51510,-269.6472473144531
1683503893.0765858,51992,-294.2255554199219
