Wall time,Step,Value
1683471690.6520538,354304,-95.07231140136719
1683471696.4636958,356352,-95.50099182128906
1683471703.4778333,358400,-94.18785095214844
1683471709.6680846,360448,-94.03004455566406
1683471715.6372142,362496,-94.4229965209961
1683471722.0901136,364544,-95.83324432373047
1683471728.5202904,366592,-95.4224624633789
1683471735.0853326,368640,-95.73198699951172
1683471741.965121,370688,-95.6441650390625
1683471748.1388803,372736,-95.6109848022461
1683471754.5136988,374784,-94.63878631591797
1683471760.8352938,376832,-94.45122528076172
1683471767.7473423,378880,-93.98902893066406
1683471773.9595792,380928,-92.83639526367188
1683471780.5940723,382976,-92.82862091064453
1683471786.5174232,385024,-93.36829376220703
1683471792.5803285,387072,-93.47589111328125
1683471798.9901927,389120,-93.48181915283203
1683471805.1542032,391168,-93.8100814819336
1683471812.4207573,393216,-93.7003173828125
1683471819.1396556,395264,-91.56018829345703
1683471825.0130026,397312,-91.66410827636719
1683471832.480431,399360,-91.53197479248047
1683471838.6939516,401408,-91.92269134521484
1683471845.62822,403456,-91.43374633789062
1683471851.465908,405504,-91.08210754394531
1683471857.8646894,407552,-90.67039489746094
1683471865.1915312,409600,-89.95145416259766
1683471872.0412369,411648,-89.93296813964844
1683471879.7709975,413696,-88.15713500976562
1683471887.0252762,415744,-87.52903747558594
1683471894.050653,417792,-88.03865814208984
1683471900.637762,419840,-87.8696060180664
1683471908.552625,421888,-87.61967468261719
1683471915.5763905,423936,-86.77543640136719
1683471922.4696348,425984,-85.00059509277344
1683471929.128133,428032,-85.0575180053711
1683471936.562873,430080,-85.03521728515625
1683471942.7444322,432128,-84.98844146728516
1683471949.3286037,434176,-84.29508209228516
1683471955.9628458,436224,-84.31043243408203
1683471963.3577254,438272,-84.06938171386719
1683471970.311421,440320,-83.7683334350586
1683471977.3970764,442368,-82.25567626953125
1683471984.074882,444416,-82.55497741699219
1683471991.241307,446464,-83.2411880493164
1683471997.1400194,448512,-82.5870590209961
1683472004.0983193,450560,-82.42769622802734
1683472010.6915832,452608,-81.81459045410156
1683472017.8510582,454656,-81.47636413574219
1683472024.425058,456704,-80.55633544921875
1683472030.6659346,458752,-80.59294128417969
1683472037.0378587,460800,-80.55826568603516
1683472043.9003913,462848,-79.71623992919922
1683472051.5895422,464896,-79.62060546875
