Wall time,Step,Value
1683466985.7732062,2048,-215.34022521972656
1683466990.2301073,4096,-212.96119689941406
1683466995.0328074,6144,-186.29652404785156
1683466999.9093063,8192,-181.801025390625
1683467004.6444356,10240,-180.93397521972656
1683467009.5699162,12288,-170.84767150878906
1683467014.3078692,14336,-151.32981872558594
1683467019.1959748,16384,-164.30186462402344
1683467024.2786431,18432,-170.69190979003906
1683467029.0654132,20480,-166.34625244140625
1683467034.547403,22528,-158.71929931640625
1683467039.715629,24576,-150.64088439941406
1683467044.7936978,26624,-152.16021728515625
1683467051.3605573,28672,-147.20492553710938
1683467057.3433812,30720,-141.20738220214844
1683467062.6391268,32768,-132.9274444580078
1683467067.6904435,34816,-122.00117492675781
1683467072.690345,36864,-106.12529754638672
1683467079.1584914,38912,-95.53113555908203
1683467085.3434188,40960,-91.69476318359375
1683467091.7520921,43008,-87.65144348144531
1683467098.690401,45056,-82.1256103515625
1683467104.0433369,47104,-76.59535217285156
1683467111.138883,49152,-75.565185546875
1683467117.549354,51200,-69.07915496826172
1683467124.853577,53248,-66.82562255859375
1683467131.3322084,55296,-69.91333770751953
1683467138.1308215,57344,-69.19781494140625
1683467144.6503656,59392,-70.02104949951172
1683467151.4954724,61440,-67.68212127685547
1683467158.180489,63488,-65.60590362548828
1683467165.2107842,65536,-65.49230194091797
1683467173.6761692,67584,-61.208160400390625
1683467181.7233908,69632,-57.90800476074219
1683467188.2878616,71680,-55.30278778076172
1683467196.1464374,73728,-49.69483184814453
1683467203.5707188,75776,-48.71565246582031
1683467210.5173528,77824,-48.68631362915039
1683467216.8712213,79872,-41.353797912597656
1683467224.20395,81920,-34.804115295410156
1683467230.6036673,83968,-28.228759765625
1683467236.8504658,86016,-25.744413375854492
1683467244.0434992,88064,-18.772621154785156
1683467251.5994267,90112,-14.83056354522705
1683467258.7737584,92160,-10.039263725280762
1683467266.1031253,94208,-7.9663310050964355
1683467273.9141414,96256,-3.2837047576904297
1683467280.4845371,98304,0.9934148192405701
1683467287.266066,100352,4.088852882385254
1683467294.1332204,102400,9.088859558105469
1683467300.7582579,104448,15.083989143371582
1683467307.2399733,106496,20.381433486938477
1683467313.7814982,108544,24.72258949279785
1683467319.976842,110592,32.512290954589844
1683467326.2337937,112640,39.18075180053711
1683467332.4281,114688,50.531585693359375
1683467338.3471482,116736,54.10282516479492
1683467344.2737682,118784,57.599205017089844
1683467350.4896984,120832,61.47203063964844
1683467356.8195307,122880,69.37503814697266
1683467362.7232041,124928,74.92665100097656
1683467368.469199,126976,80.95164489746094
1683467374.4569097,129024,93.06422424316406
1683467380.7550218,131072,102.28457641601562
1683467386.7342987,133120,107.87327575683594
1683467392.576292,135168,118.1700210571289
1683467398.4456017,137216,122.03157043457031
1683467404.287195,139264,127.75393676757812
1683467410.2861476,141312,133.10997009277344
1683467416.4630656,143360,141.0040740966797
1683467422.0186465,145408,139.3605194091797
1683467427.8958015,147456,139.01242065429688
1683467433.5952337,149504,141.55543518066406
1683467439.407522,151552,145.4701385498047
1683467445.397156,153600,151.29739379882812
1683467451.1258903,155648,154.55499267578125
1683467457.0019312,157696,156.80728149414062
1683467463.0380747,159744,157.49874877929688
1683467468.7485058,161792,159.8417510986328
1683467474.27787,163840,159.84922790527344
1683467480.1159277,165888,158.96453857421875
1683467486.0894895,167936,161.6773223876953
1683467492.1621325,169984,165.95030212402344
1683467497.9553607,172032,169.75437927246094
1683467503.9584901,174080,172.00335693359375
1683467509.6404727,176128,171.2382354736328
1683467515.786203,178176,170.794921875
1683467522.0365305,180224,174.67918395996094
1683467527.7045174,182272,177.24273681640625
1683467533.4388459,184320,182.42938232421875
1683467539.099757,186368,185.7112274169922
1683467544.4994502,188416,185.1195526123047
1683467550.456633,190464,186.1469268798828
1683467556.1117685,192512,192.07606506347656
1683467561.6598542,194560,188.0531463623047
1683467567.0369737,196608,183.2412872314453
1683467572.5515428,198656,176.79176330566406
1683467578.5610852,200704,175.42724609375
1683467584.0088863,202752,172.6306610107422
1683467589.716701,204800,173.7865447998047
1683467595.0055227,206848,174.56649780273438
1683467600.8164513,208896,178.648681640625
1683467606.2233975,210944,176.43215942382812
1683467611.5366237,212992,179.914306640625
1683467616.9775326,215040,180.11370849609375
1683467622.2193203,217088,184.51731872558594
1683467627.5201354,219136,186.6176300048828
1683467632.6645977,221184,185.52908325195312
1683467637.9209454,223232,184.2344512939453
1683467643.2438498,225280,186.8541717529297
1683467648.713508,227328,186.02194213867188
1683467653.9349797,229376,191.10299682617188
1683467659.057761,231424,198.36904907226562
1683467664.159292,233472,202.44085693359375
1683467669.3935566,235520,207.2541046142578
1683467674.7455292,237568,211.4276580810547
1683467680.0479755,239616,212.37184143066406
1683467685.485842,241664,213.40689086914062
1683467690.877974,243712,214.1603240966797
1683467696.2722392,245760,214.2331085205078
1683467701.5114555,247808,212.52186584472656
1683467707.303707,249856,209.48809814453125
1683467712.5683036,251904,210.6787109375
1683467717.9600108,253952,209.94569396972656
1683467723.2478507,256000,207.76931762695312
1683467729.0110667,258048,206.2240753173828
1683467734.3633866,260096,208.17662048339844
1683467740.0281205,262144,209.45872497558594
1683467745.5956488,264192,207.04856872558594
1683467750.9788034,266240,205.65585327148438
1683467756.5966058,268288,204.88751220703125
1683467762.4660163,270336,200.3587188720703
1683467767.7951076,272384,201.78125
1683467772.9105432,274432,204.6272735595703
1683467778.251669,276480,201.88490295410156
1683467783.9949136,278528,203.33306884765625
1683467789.2856765,280576,201.80067443847656
1683467794.4560194,282624,201.72213745117188
1683467799.6834164,284672,194.0169677734375
1683467804.889052,286720,187.11819458007812
1683467810.3754895,288768,196.4425506591797
1683467815.717827,290816,196.83023071289062
1683467821.2782085,292864,194.0059051513672
1683467826.4386816,294912,193.904052734375
1683467831.7263093,296960,197.25205993652344
1683467837.1278455,299008,203.77377319335938
1683467842.3067396,301056,202.23318481445312
1683467847.59062,303104,193.2541961669922
1683467853.248454,305152,191.92984008789062
1683467858.6334696,307200,190.80191040039062
1683467863.9375598,309248,193.58804321289062
1683467869.397558,311296,191.69346618652344
1683467874.3886254,313344,195.7719268798828
1683467879.6225224,315392,190.6785430908203
1683467885.0031703,317440,184.8418426513672
1683467890.19755,319488,186.53720092773438
1683467895.4608152,321536,187.25221252441406
1683467900.7606237,323584,187.03927612304688
1683467906.298085,325632,186.55908203125
1683467911.831736,327680,187.9005584716797
1683467916.8698013,329728,190.7935333251953
1683467922.0977929,331776,192.9187774658203
1683467927.2928743,333824,188.48719787597656
1683467932.4012234,335872,193.06956481933594
1683467937.6443195,337920,196.97642517089844
1683467942.9956093,339968,201.57737731933594
1683467948.6065989,342016,201.96365356445312
1683467953.6928174,344064,207.6479949951172
1683467958.50189,346112,204.76551818847656
1683467963.2730496,348160,208.77841186523438
1683467968.650627,350208,214.0701904296875
1683467973.814575,352256,214.01641845703125
1683467978.7465956,354304,214.56610107421875
1683467983.5891218,356352,216.01573181152344
1683467988.4889286,358400,218.4814910888672
1683467993.5152223,360448,222.14244079589844
1683467998.7626634,362496,225.38230895996094
1683468003.7145975,364544,216.87759399414062
1683468008.7136974,366592,218.85751342773438
1683468013.5631733,368640,219.72181701660156
1683468018.6005738,370688,221.97415161132812
1683468023.5104787,372736,228.09597778320312
1683468028.5657594,374784,230.01431274414062
1683468033.6256087,376832,228.3475341796875
1683468038.5401745,378880,227.4969940185547
1683468043.4501672,380928,224.4969940185547
1683468048.4304528,382976,224.281494140625
1683468053.463118,385024,231.89524841308594
1683468058.545506,387072,228.65452575683594
1683468064.189271,389120,227.80116271972656
1683468070.0759745,391168,228.55567932128906
1683468075.496399,393216,228.1508331298828
1683468080.807952,395264,231.88291931152344
1683468086.5428255,397312,234.69432067871094
1683468091.4041307,399360,232.7877197265625
1683468096.368591,401408,233.55482482910156
1683468101.6875274,403456,231.9583740234375
1683468106.8343103,405504,234.28155517578125
1683468112.3917084,407552,228.2668914794922
1683468117.4500315,409600,224.39015197753906
1683468123.1192305,411648,224.3363800048828
1683468128.2154534,413696,225.09225463867188
1683468133.1384807,415744,226.84100341796875
1683468138.1936204,417792,224.45538330078125
1683468142.6820166,419840,226.19412231445312
1683468147.936258,421888,225.5361328125
1683468153.2658436,423936,222.5539093017578
1683468158.301523,425984,220.37875366210938
1683468163.269848,428032,222.0901641845703
1683468168.355198,430080,222.07315063476562
1683468173.4030464,432128,225.2752227783203
1683468178.5429401,434176,220.99925231933594
1683468183.6184452,436224,219.1190948486328
1683468188.5525358,438272,223.18556213378906
1683468193.3739793,440320,230.51914978027344
1683468198.408377,442368,232.34274291992188
