Wall time,Step,Value
1683468536.2080536,2048,-179.91543579101562
1683468540.44858,4096,-165.066650390625
1683468545.1213756,6144,-162.9718780517578
1683468549.7216885,8192,-156.86219787597656
1683468554.021981,10240,-155.11973571777344
1683468558.607254,12288,-151.26449584960938
1683468564.1948614,14336,-140.08847045898438
1683468569.0535836,16384,-145.8789520263672
1683468573.844479,18432,-146.3071746826172
1683468578.9050393,20480,-148.56332397460938
1683468583.8366077,22528,-148.00401306152344
1683468589.7194538,24576,-143.23736572265625
1683468595.0611553,26624,-152.2581787109375
1683468600.1834764,28672,-155.24961853027344
1683468606.05409,30720,-154.0188751220703
1683468612.0159993,32768,-154.94171142578125
1683468618.162933,34816,-152.19573974609375
1683468623.6961117,36864,-151.96939086914062
1683468629.6279972,38912,-148.15379333496094
1683468635.4428327,40960,-150.26235961914062
1683468641.3209975,43008,-146.7186279296875
1683468647.1951692,45056,-144.9726104736328
1683468653.0515618,47104,-141.29855346679688
1683468659.4077528,49152,-139.61924743652344
1683468665.5348275,51200,-140.3831329345703
1683468672.371596,53248,-141.2776641845703
1683468680.2254207,55296,-139.94711303710938
1683468687.070892,57344,-136.30523681640625
1683468693.4248798,59392,-132.67991638183594
1683468700.416173,61440,-127.3145751953125
1683468708.1459804,63488,-120.32649230957031
1683468714.886991,65536,-118.05494689941406
1683468722.839984,67584,-115.05936431884766
1683468730.4748333,69632,-110.30889129638672
1683468737.2470055,71680,-111.1570053100586
1683468743.9878933,73728,-109.95682525634766
1683468750.623,75776,-106.95393371582031
1683468757.4451914,77824,-106.88931274414062
1683468765.104561,79872,-105.7740478515625
1683468772.4493282,81920,-102.70469665527344
1683468779.7166917,83968,-101.75489044189453
1683468787.3143275,86016,-104.04122924804688
1683468795.1042824,88064,-106.15516662597656
1683468802.935591,90112,-104.22616577148438
1683468810.3649058,92160,-106.24090576171875
1683468817.3881555,94208,-104.39508056640625
1683468824.5360584,96256,-102.38285064697266
1683468831.3522768,98304,-98.32534790039062
1683468837.9654412,100352,-95.21199035644531
1683468845.1733341,102400,-93.71288299560547
1683468852.7944717,104448,-92.46945190429688
1683468859.8288016,106496,-90.64965057373047
1683468867.8493185,108544,-88.19141387939453
1683468874.5549376,110592,-88.70067596435547
1683468882.1050997,112640,-86.57221221923828
1683468890.3206246,114688,-86.58135223388672
1683468896.484398,116736,-90.93737030029297
1683468903.4125571,118784,-88.62034606933594
1683468911.1995907,120832,-88.34700012207031
1683468918.6464002,122880,-87.25496673583984
1683468925.8342776,124928,-85.55278778076172
1683468933.1585417,126976,-88.33597564697266
1683468940.1377506,129024,-87.71898651123047
1683468947.955103,131072,-88.00728607177734
1683468954.6672394,133120,-89.34998321533203
1683468961.791628,135168,-88.41852569580078
1683468968.7383308,137216,-90.64185333251953
1683468976.2691739,139264,-90.52297973632812
1683468983.2739275,141312,-90.39527893066406
1683468990.007225,143360,-91.05734252929688
1683468997.5789933,145408,-93.61444854736328
1683469005.1102765,147456,-94.20812225341797
1683469013.2051642,149504,-96.77564239501953
1683469019.9008949,151552,-97.90914916992188
1683469027.6746151,153600,-100.34220123291016
1683469036.8142319,155648,-101.27588653564453
1683469043.326754,157696,-102.88198852539062
1683469049.7067413,159744,-106.04557800292969
1683469056.6120257,161792,-106.77775573730469
1683469063.7653985,163840,-107.28170013427734
1683469070.741022,165888,-107.8330078125
1683469077.9589913,167936,-109.42093658447266
1683469086.5225663,169984,-111.0372543334961
