Wall time,Step,Value
1683463017.1384397,402,-198.5893096923828
1683463017.1974528,712,-182.4194793701172
1683463017.2764912,1086,-192.93698120117188
1683463017.3465083,1458,-189.5454864501953
1683463017.415526,1818,-190.75704956054688
1683463017.4845402,2176,-197.81471252441406
1683463017.5505564,2532,-209.053466796875
1683463017.612569,2874,-203.5274658203125
1683463017.692587,3285,-202.7307891845703
1683463017.7576041,3626,-199.33648681640625
1683463017.821618,3969,-193.74034118652344
1683463017.9026365,4383,-190.29405212402344
1683463017.9612055,4707,-193.36163330078125
1683463018.0412245,5116,-194.05567932128906
1683463018.1072383,5460,-193.54359436035156
1683463018.1852565,5862,-188.78831481933594
1683463018.2782774,6328,-196.35765075683594
1683463018.3442922,6677,-193.4336395263672
1683463018.411307,7027,-188.73001098632812
1683463018.475325,7363,-185.63717651367188
1683463018.556345,7771,-186.21920776367188
1683463018.62336,8125,-188.7801971435547
1683463018.6994305,8503,-190.54559326171875
1683463018.7724464,8884,-186.56712341308594
1683463018.832461,9210,-187.23545837402344
1683463018.898475,9555,-189.90786743164062
1683463018.952487,9850,-189.7059783935547
1683463019.9338815,10210,-187.498046875
1683463020.0079014,10591,-185.9225616455078
1683463020.0660079,10910,-181.1842803955078
1683463020.1280215,11247,-181.34347534179688
1683463020.191036,11587,-177.52468872070312
1683463020.267053,11985,-178.85491943359375
1683463020.3280656,12315,-176.05189514160156
1683463020.4030836,12704,-177.35519409179688
1683463020.4750998,13073,-176.34193420410156
1683463020.5541162,13473,-178.98092651367188
1683463020.635135,13895,-175.8704376220703
1683463020.7021508,14253,-171.9683837890625
1683463020.775167,14627,-167.51426696777344
1683463020.8441825,14994,-171.6482696533203
1683463020.908197,15347,-163.74197387695312
1683463020.9882214,15761,-166.2076416015625
1683463021.0482352,16080,-169.3773956298828
1683463021.1187594,16460,-172.1752471923828
1683463021.186773,16810,-169.7819366455078
1683463021.2697954,17229,-169.07907104492188
1683463021.3348143,17579,-168.2754669189453
1683463021.3908267,17884,-168.31507873535156
1683463021.459842,18253,-171.00473022460938
1683463022.390652,19496,-163.9084014892578
1683463022.462689,19883,-162.66024780273438
1683463022.5196817,20190,-161.78005981445312
1683463022.5846965,20541,-161.48028564453125
1683463022.6602204,20935,-163.0873260498047
1683463022.729237,21294,-160.8289794921875
1683463022.8022597,21683,-165.55490112304688
1683463022.8832831,22106,-165.23655700683594
1683463022.9532654,22477,-166.0914306640625
1683463023.0232813,22838,-165.8476104736328
1683463023.0793128,23141,-168.1546630859375
1683463023.150332,23517,-167.68856811523438
1683463023.2283502,23923,-168.04014587402344
1683463023.298366,24292,-174.82208251953125
1683463023.360383,24632,-178.0104217529297
1683463023.4203975,24965,-172.74078369140625
1683463023.5024161,25400,-177.14276123046875
1683463023.570431,25750,-174.2000732421875
1683463023.6374462,26100,-172.06214904785156
1683463023.7054617,26463,-175.4715118408203
1683463023.78648,26881,-176.65516662597656
1683463023.8494942,27212,-173.48890686035156
1683463023.929511,27618,-170.56723022460938
1683463024.0075295,28019,-171.4010772705078
1683463024.0715425,28345,-169.0946807861328
1683463024.14756,28743,-176.9404754638672
1683463024.2215762,29114,-177.84048461914062
1683463024.2875922,29458,-178.44580078125
1683463024.3426037,29742,-181.96881103515625
1683463024.406618,30070,-181.6979217529297
1683463024.4792092,30431,-182.1226348876953
1683463024.546224,30768,-179.0666961669922
1683463024.6232407,31164,-183.46641540527344
1683463024.689257,31508,-184.22239685058594
1683463024.7722743,31899,-182.07972717285156
1683463024.8397949,32245,-182.53030395507812
1683463024.9218142,32634,-183.76492309570312
1683463025.0038319,33039,-182.99237060546875
1683463025.0878506,33464,-182.7265625
1683463025.1533701,33800,-182.7467041015625
1683463025.226386,34179,-187.99070739746094
1683463025.2944016,34528,-182.98866271972656
1683463025.37242,34931,-185.4518585205078
1683463025.4539447,35342,-188.23219299316406
1683463026.334142,36620,-184.70457458496094
1683463026.397156,36949,-185.53372192382812
1683463026.4851768,37407,-187.6424560546875
1683463026.5611932,37785,-188.45750427246094
1683463026.6387172,38181,-193.799560546875
1683463026.7167346,38573,-190.3938751220703
1683463026.7907515,38956,-183.1355438232422
1683463026.8617685,39324,-186.31863403320312
1683463026.9402885,39725,-187.66018676757812
1683463027.0033026,40053,-185.45468139648438
1683463027.058315,40349,-184.4792938232422
1683463027.1193285,40680,-181.4642791748047
1683463027.9356928,41947,-176.69964599609375
