Wall time,Step,Value
1683985427.21112,0,2.664519786834717
1683985469.5885572,0,3.746502637863159
1683985475.6089358,1,-9.030920028686523
1683985482.0881467,2,-3.7912895679473877
1683985488.9306295,3,-12.500001907348633
1683985495.5126736,4,-11.15871810913086
1683985501.5877964,5,-14.630703926086426
1683985507.6205578,6,-2.3571395874023438
1683985513.649791,7,47.6459846496582
1683985519.677016,8,15.588232040405273
1683985525.7232373,9,6.5271782875061035
1683985531.764971,10,19.678930282592773
1683985537.800217,11,-17.92523956298828
1683985543.845435,12,7.071415901184082
1683985549.824798,13,-10.858221054077148
1683985555.9239507,14,3.7895877361297607
1683985561.9261003,15,2.6382648944854736
1683985567.9493444,16,67.70381164550781
1683985573.8655634,17,-1.522564172744751
1683985579.8737702,18,-13.793119430541992
1683985585.9274976,19,-12.6510591506958
1683985591.928702,20,-5.059545040130615
1683985598.0159516,21,16.03143310546875
1683985604.0126703,22,1.805952787399292
1683985610.0623832,23,-15.525731086730957
1683985616.1276908,24,-0.7436225414276123
1683985622.1911952,25,23.55838394165039
1683985628.2060509,26,-13.073064804077148
1683985634.2287424,27,-17.189868927001953
1683985640.1150167,28,19.9475154876709
1683985646.133237,29,17.934782028198242
1683985652.4800627,30,-2.4550235271453857
1683985658.5521774,31,27.3868350982666
1683985664.5984056,32,-7.8690314292907715
1683985670.5251586,33,-8.189656257629395
1683985676.9438558,34,3.991729736328125
1683985682.9991946,35,16.66665267944336
1683985689.0193105,36,-15.77868938446045
1683985695.0760756,37,42.08391571044922
1683985701.0687418,38,-15.89734935760498
1683985707.3476238,39,-11.909160614013672
1683985713.358599,40,49.909305572509766
1683985719.3219938,41,-15.108701705932617
1683985725.280193,42,-0.845319926738739
1683985731.322821,43,43.10606002807617
1683985737.4426234,44,-4.433241844177246
1683985743.394744,45,26.186166763305664
1683985749.4223006,46,-11.609792709350586
1683985755.6068332,47,-2.6812691688537598
1683985762.1210155,48,-12.210565567016602
1683985768.131759,49,-5.347121715545654
1683985774.6849997,50,-9.416302680969238
1683985780.6276991,51,-9.770112037658691
1683985786.6466217,52,3.775651454925537
1683985792.6776614,53,38.61429977416992
1683985798.7373736,54,6.972905158996582
1683985803.810846,55,89.70004272460938
1683985809.8153162,56,-11.337209701538086
1683985816.727043,57,10.003495216369629
1683985822.8736396,58,3.1028378009796143
1683985829.1330807,59,13.218371391296387
1683985835.7943144,60,62.71996307373047
